skill_a,skill_b,cooccur,meaning,relation
PostgreSQL,Power BI,0.029,0.36,complements
Flink,TensorFlow,0.029,0.235,complements
Power BI,REST API,0.029,0.179,complements
Flask,NLP,0.029,0.134,complements
GitHub,Salesforce,0.029,0.211,complements
SageMaker,Statistical Analysis,0.029,0.058,complements
Machine Learning,Windows,0.029,0.053,complements
Azure,Kotlin,0.029,0.241,complements
Node.js,Svelte,0.029,0.657,complements
Ansible,System Design,0.029,0.395,complements
Node.js,Prometheus,0.029,0.179,complements
System Design,TypeScript,0.029,0.154,complements
Node.js,System Design,0.029,0.199,complements
Firewalls,GCP,0.029,0.132,complements
Amplitude,R,0.029,0.277,complements
Bash,CISSP,0.029,0.238,complements
AWS,C,0.029,0.221,complements
R,dbt,0.029,0.159,complements
Jenkins,ServiceNow,0.029,0.509,complements
GitHub,LLMs / GenAI,0.029,0.074,complements
Git,dbt,0.029,0.386,complements
DevOps,Hive,0.029,0.076,complements
Hive,JSON,0.029,0.321,complements
NumPy,Power BI,0.029,0.134,complements
DynamoDB,Scala,0.029,0.281,complements
Linux,R,0.029,0.296,complements
OWASP,Risk Management,0.029,0.427,complements
Flask,Kanban,0.029,0.155,complements
Go,Snowflake,0.029,0.247,complements
Data Governance,Elasticsearch,0.029,0.155,complements
Google Analytics,MySQL,0.029,0.241,complements
Ansible,XML,0.029,0.281,complements
DevOps,Stakeholder Mgmt,0.029,0.236,complements
Bash,Machine Learning,0.029,0.158,complements
Apache Iceberg,SQL,0.029,0.353,complements
NLP,Software Architecture,0.029,0.116,complements
Kanban,TensorFlow,0.029,0.151,complements
Grafana,TypeScript,0.029,0.161,complements
Git,OWASP,0.029,0.227,complements
Cybersecurity,Git,0.029,0.208,complements
Data Analysis,SageMaker,0.029,0.253,complements
Data Visualization,HTML,0.029,0.252,complements
ArgoCD,Microservices,0.029,0.44,complements
A/B Testing,Data Warehousing,0.029,0.165,complements
MATLAB,Prototyping,0.029,0.044,complements
CSS,Data Visualization,0.029,0.351,complements
Microservices,Ruby,0.029,0.399,complements
AWS,OWASP,0.029,0.214,complements
Salesforce,Snowflake,0.029,0.384,complements
PyTorch,Snowflake,0.029,0.061,complements
NoSQL,Swift,0.029,0.169,complements
C,XML,0.029,0.455,complements
Django,TensorFlow,0.029,0.192,complements
Data Modeling,JSON,0.029,0.499,complements
Data Warehousing,Stakeholder Mgmt,0.029,0.125,complements
Spark,Splunk,0.029,0.283,complements
CSS,Cassandra,0.029,0.095,complements
Oracle,VMware,0.029,0.192,complements
Django,Elasticsearch,0.029,0.263,complements
LangChain,R,0.029,0.343,complements
Active Directory,Oracle,0.029,0.271,complements
LLMs / GenAI,Snowflake,0.029,0.096,complements
Metabase,SQL,0.029,0.439,complements
GCP,Linear,0.029,0.122,complements
Data Modeling,XML,0.029,0.549,complements
A/B Testing,JavaScript,0.029,0.184,complements
Kafka,NumPy,0.029,0.081,complements
Datadog,Unit Testing,0.029,0.102,complements
CSS,Google Analytics,0.029,0.326,complements
Data Governance,Fivetran,0.029,0.427,complements
Data Modeling,Terraform,0.029,0.262,complements
C++,PowerShell,0.029,0.287,complements
Data Visualization,Kubernetes,0.029,0.104,complements
Dagster,TensorFlow,0.029,0.132,complements
Kanban,Unix,0.029,0.191,complements
NoSQL,Prometheus,0.029,0.216,complements
Salesforce,Stakeholder Mgmt,0.029,0.251,complements
GCP,Pulumi,0.029,0.571,complements
Java,OWASP,0.029,0.328,complements
Data Modeling,SAP,0.029,0.339,complements
Tableau,TensorFlow,0.029,0.153,complements
Docker,OWASP,0.029,0.111,complements
Jira,VMware,0.029,0.138,complements
Confluence,DynamoDB,0.028,0.284,complements
Docker,R,0.028,0.249,complements
Dagster,SQL,0.028,0.263,complements
Hive,Splunk,0.028,0.366,complements
Jupyter,PostgreSQL,0.028,0.252,complements
Datadog,SQL,0.028,0.085,complements
Angular,Unix,0.028,0.165,complements
Scala,Terraform,0.028,0.391,complements
Kubernetes,Next.js,0.028,0.232,complements
Data Analysis,Splunk,0.028,0.246,complements
Risk Management,Software Architecture,0.028,0.241,complements
Grafana,Hive,0.028,0.263,complements
Ruby,Scala,0.028,0.417,complements
Node.js,Splunk,0.028,0.261,complements
ArgoCD,GCP,0.028,0.282,complements
Jupyter,Snowflake,0.028,0.232,complements
BigQuery,Power BI,0.028,0.461,complements
Spring,System Design,0.028,0.247,complements
Redis,Snowflake,0.028,0.406,complements
DynamoDB,ETL,0.028,0.221,complements
Big Data,Penetration Testing,0.028,0.205,complements
Data Governance,Risk Management,0.028,0.293,complements
BigQuery,Pandas,0.028,0.341,complements
GCP,SageMaker,0.028,0.43,complements
CSS,PowerShell,0.028,0.234,complements
Kubernetes,Swift,0.028,0.2,complements
Prefect,Python,0.028,0.51,complements
NoSQL,PHP,0.028,0.237,complements
Node.js,Snowflake,0.028,0.105,complements
Databricks,MongoDB,0.028,0.351,complements
GitLab,Kanban,0.028,0.23,complements
REST API,System Design,0.028,0.167,complements
HTML,Swift,0.028,0.362,complements
Data Governance,Workday,0.028,0.292,complements
C,Confluence,0.028,0.23,complements
Kafka,PyTorch,0.028,0.153,complements
LLMs / GenAI,Tableau,0.028,0.176,complements
.NET,GCP,0.028,0.214,complements
Hive,dbt,0.028,0.372,complements
AWS,Linear,0.028,0.122,complements
Prompt Engineering,React,0.028,0.258,complements
ClickHouse,Python,0.028,0.252,complements
Salesforce,ServiceNow,0.028,0.509,complements
Cassandra,HTML,0.028,0.149,complements
Hadoop,JavaScript,0.028,0.236,complements
Confluence,MuleSoft,0.028,0.355,complements
Next.js,Unit Testing,0.028,0.064,complements
Flink,NLP,0.028,0.126,complements
JavaScript,SAS,0.028,0.209,complements
CISSP,DevOps,0.028,0.26,complements
CSS,Power BI,0.028,0.251,complements
Angular,Data Analysis,0.028,0.114,complements
Ruby,Rust,0.028,0.402,complements
Prometheus,REST API,0.028,0.207,complements
Distributed Systems,Hive,0.028,0.183,complements
Data Analysis,Microsoft Fabric,0.028,0.193,complements
CSS,DynamoDB,0.028,0.111,complements
Prometheus,TypeScript,0.028,0.133,complements
Airflow,Power BI,0.028,0.448,complements
MongoDB,Windows,0.028,0.253,complements
Power BI,Scala,0.028,0.218,complements
GCP,Swift,0.028,0.218,complements
.NET,Kotlin,0.028,0.496,complements
Cassandra,XML,0.028,0.316,complements
JSON,Power BI,0.028,0.316,complements
JavaScript,Snowflake,0.028,0.152,complements
Elasticsearch,Next.js,0.028,0.159,complements
Grafana,Spring,0.028,0.167,complements
Elasticsearch,Flask,0.028,0.259,complements
BigQuery,GitHub,0.028,0.133,complements
Jira,PHP,0.028,0.295,complements
GitHub,Pulumi,0.028,0.368,complements
Data Pipeline,Node.js,0.028,0.157,complements
Confluence,Cybersecurity,0.028,0.113,complements
Git,System Design,0.028,0.341,complements
Big Data,Node.js,0.028,0.156,complements
CI/CD,OWASP,0.028,0.262,complements
Metabase,Spark,0.028,0.374,complements
Linear,Linux,0.028,0.218,complements
Big Data,NumPy,0.028,0.171,complements
MongoDB,Pandas,0.027,0.22,complements
React,Windows,0.027,0.288,complements
Ansible,React,0.027,0.225,complements
Helm,Node.js,0.027,0.205,complements
MySQL,Pandas,0.027,0.343,complements
ETL,Fivetran,0.027,0.466,complements
CSS,Data Modeling,0.027,0.195,complements
Dagster,MongoDB,0.027,0.274,complements
Flink,Jupyter,0.027,0.187,complements
Kanban,Vue,0.027,0.129,complements
Flink,Unit Testing,0.027,0.093,complements
Helm,Microservices,0.027,0.508,complements
Airflow,REST API,0.027,0.179,complements
Elasticsearch,Snowflake,0.027,0.455,complements
Jira,NLP,0.027,0.088,complements
Ruby,VMware,0.027,0.212,complements
Bash,Penetration Testing,0.027,0.18,complements
.NET,GitLab,0.027,0.279,complements
Hive,PyTorch,0.027,0.183,complements
Kubernetes,XGBoost,0.027,0.045,complements
Databricks,PostgreSQL,0.027,0.248,complements
Excel,MATLAB,0.027,0.413,complements
Data Modeling,Unix,0.027,0.135,complements
Grafana,Machine Learning,0.027,0.24,complements
CI/CD,Risk Management,0.027,0.234,complements
C++,Statistical Analysis,0.027,0.096,complements
HTML,Kotlin,0.027,0.443,complements
Flink,Power BI,0.027,0.234,complements
Datadog,Spark,0.027,0.238,complements
Kanban,Redis,0.027,0.265,complements
Risk Management,SAP,0.027,0.193,complements
Hugging Face,Python,0.027,0.231,complements
Node.js,Spark,0.027,0.236,complements
Jupyter,Tableau,0.027,0.403,complements
Machine Learning,Oracle,0.027,0.201,complements
Data Pipeline,Unit Testing,0.027,0.2,complements
DevOps,SIEM,0.027,0.273,complements
Confluence,NLP,0.027,0.204,complements
Grafana,Scala,0.027,0.243,complements
Metabase,Python,0.027,0.444,complements
Data Modeling,Redis,0.027,0.371,complements
Dynamics 365,HTML,0.027,0.201,complements
PowerShell,SSIS,0.027,0.306,complements
GitLab,Snowflake,0.027,0.245,complements
Angular,Salesforce,0.027,0.088,complements
DevOps,Informatica,0.027,0.306,complements
Docker,Incident Response,0.027,-0.019,complements
Git,Looker,0.027,0.306,complements
Ruby,Unit Testing,0.027,0.224,complements
Bash,Data Analysis,0.027,0.174,complements
Data Visualization,Risk Management,0.027,0.205,complements
C,Cybersecurity,0.027,0.16,complements
Bash,SOC 2,0.027,0.166,complements
.NET,Kafka,0.027,0.209,complements
Jira,SAP,0.027,0.341,complements
Workday,XML,0.027,0.204,complements
C,HTML,0.027,0.381,complements
Power BI,XML,0.027,0.308,complements
Jenkins,Salesforce,0.027,0.288,complements
MySQL,Splunk,0.027,0.336,complements
Flask,LLMs / GenAI,0.027,0.073,complements
C,PHP,0.027,0.633,complements
Ansible,Django,0.027,0.424,complements
Rust,Swift,0.027,0.526,complements
Airflow,Unit Testing,0.027,0.152,complements
Cassandra,Power BI,0.027,0.175,complements
Data Warehousing,NumPy,0.027,0.054,complements
Azure,Excel,0.027,0.167,complements
Git,VMware,0.027,0.222,complements
Azure,LangChain,0.027,0.167,complements
Data Governance,Distributed Systems,0.027,0.222,complements
C#,Data Modeling,0.027,0.275,complements
Ruby,XML,0.027,0.451,complements
Jupyter,Kubernetes,0.027,0.181,complements
Data Pipeline,Kanban,0.027,0.316,complements
Firewalls,Kubernetes,0.027,0.116,complements
Deep Learning,Kanban,0.027,0.158,complements
Prototyping,System Design,0.027,0.177,complements
Databricks,Distributed Systems,0.027,0.229,complements
SIEM,VMware,0.027,0.128,complements
Jupyter,Rust,0.027,0.34,complements
Bash,Node.js,0.027,0.355,complements
BigQuery,Kubernetes,0.027,0.352,complements
Snowflake,Terraform,0.027,0.312,complements
Apache Iceberg,DevOps,0.027,0.069,complements
System Design,Unix,0.027,0.34,complements
C++,Grafana,0.027,0.237,complements
Data Analysis,Fivetran,0.027,0.222,complements
Firebase,TypeScript,0.027,0.218,complements
Data Analysis,Metabase,0.027,0.267,complements
Grafana,React,0.027,0.267,complements
Elasticsearch,Firebase,0.027,0.272,complements
Kotlin,Terraform,0.027,0.304,complements
Pandas,Statistical Analysis,0.027,0.248,complements
Data Modeling,Elasticsearch,0.027,0.279,complements
Power BI,Workday,0.027,0.243,complements
DynamoDB,Software Architecture,0.027,0.16,complements
Node.js,Windows,0.027,0.492,complements
GitHub,Scala,0.027,0.236,complements
Django,Java,0.027,0.385,complements
Jenkins,OWASP,0.027,0.168,complements
Data Modeling,Linux,0.027,0.125,complements
REST API,Snowflake,0.027,0.136,complements
Data Visualization,User Research,0.027,0.328,complements
SQL,scikit-learn,0.027,0.16,complements
Microservices,NLP,0.026,0.049,complements
Power BI,Risk Management,0.026,0.269,complements
GCP,VMware,0.026,0.546,complements
MongoDB,Power BI,0.026,0.311,complements
DynamoDB,Flink,0.026,0.327,complements
BigQuery,Grafana,0.026,0.384,complements
SAS,TensorFlow,0.026,0.139,complements
Risk Management,Unix,0.026,0.059,complements
Looker,Stakeholder Mgmt,0.026,0.112,complements
FastAPI,GraphQL,0.026,0.466,complements
NoSQL,Pandas,0.026,0.051,complements
Databricks,Flask,0.026,0.248,complements
CI/CD,VMware,0.026,0.274,complements
NoSQL,jQuery,0.026,0.068,complements
Redis,Scala,0.026,0.46,complements
.NET,C,0.026,0.53,complements
Kubernetes,jQuery,0.026,0.089,complements
Dagster,Docker,0.026,0.294,complements
MongoDB,SageMaker,0.026,0.237,complements
Looker,NoSQL,0.026,0.245,complements
Ruby,Swift,0.026,0.398,complements
Segment,System Design,0.026,0.23,complements
Docker,Next.js,0.026,0.313,complements
Deep Learning,Unix,0.026,0.008,complements
Incident Response,VMware,0.026,-0.005,complements
AWS,BigQuery,0.026,0.404,complements
Jenkins,Redshift,0.026,0.366,complements
Kotlin,Linux,0.026,0.433,complements
Salesforce,Unit Testing,0.026,0.053,complements
Kubernetes,OWASP,0.026,0.105,complements
Airflow,LLMs / GenAI,0.026,0.118,complements
Data Analysis,Superset,0.026,0.288,complements
ETL,Elasticsearch,0.026,0.252,complements
Python,SAP,0.026,0.368,complements
Data Modeling,Distributed Systems,0.026,0.314,complements
Jupyter,Looker,0.026,0.318,complements
GraphQL,Software Architecture,0.026,0.234,complements
BigQuery,CI/CD,0.026,0.131,complements
Big Data,Spring,0.026,0.217,complements
Flink,Rust,0.026,0.155,complements
Ansible,Spring Boot,0.026,0.449,complements
CSS,Machine Learning,0.026,0.112,complements
Databricks,FastAPI,0.026,0.323,complements
DynamoDB,Flask,0.026,0.258,complements
MySQL,R,0.026,0.344,complements
Oracle,Software Architecture,0.026,0.335,complements
Cybersecurity,LLMs / GenAI,0.026,0.038,complements
.NET,ETL,0.026,0.177,complements
Prometheus,Spark,0.026,0.29,complements
Grafana,Spring Boot,0.026,0.219,complements
Rust,Terraform,0.026,0.356,complements
NetSuite,SAP,0.026,0.728,complements
Informatica,Jira,0.026,0.274,complements
DevOps,SOC 2,0.026,0.196,complements
Dagster,GCP,0.026,0.288,complements
CISSP,Kubernetes,0.026,0.025,complements
Deep Learning,Distributed Systems,0.026,0.289,complements
Cassandra,ETL,0.026,0.101,complements
GitHub,Hive,0.026,0.152,complements
Rust,Unit Testing,0.026,0.322,complements
CSS,Kotlin,0.026,0.427,complements
Distributed Systems,Unix,0.026,0.446,complements
Data Modeling,Software Architecture,0.026,0.5,complements
MongoDB,NLP,0.026,0.122,complements
Data Analysis,Terraform,0.026,0.186,complements
Hadoop,dbt,0.026,0.277,complements
PHP,Unix,0.026,0.291,complements
Django,Jira,0.026,0.205,complements
Linux,NLP,0.026,0.003,complements
Dagster,Scala,0.026,0.377,complements
Jenkins,Tableau,0.026,0.371,complements
Data Warehousing,REST API,0.026,0.18,complements
Databricks,SAP,0.026,0.162,complements
CI/CD,dbt,0.026,0.279,complements
Data Governance,Git,0.026,0.271,complements
Informatica,Machine Learning,0.026,0.18,complements
DynamoDB,Linux,0.026,0.306,complements
Datadog,JSON,0.026,0.257,complements
Django,Kanban,0.026,0.188,complements
Airflow,Angular,0.026,0.092,complements
Grafana,Incident Response,0.026,0.209,complements
LLMs / GenAI,MLflow,0.026,0.251,complements
CI/CD,SageMaker,0.026,0.402,complements
Unit Testing,dbt,0.026,0.111,complements
CISSP,Jira,0.026,0.257,complements
Snowflake,Statistical Analysis,0.026,0.184,complements
Data Pipeline,GitLab,0.026,0.332,complements
Rust,Software Architecture,0.026,0.391,complements
Angular,Power BI,0.026,0.206,complements
PostgreSQL,Svelte,0.026,0.257,complements
Data Pipeline,FastAPI,0.025,0.193,complements
Airflow,Prometheus,0.025,0.32,complements
DevOps,FastAPI,0.025,0.165,complements
Data Warehousing,Elasticsearch,0.025,0.41,complements
Hadoop,Prometheus,0.025,0.261,complements
AWS Security,Risk Management,0.025,0.336,complements
Apache Iceberg,Machine Learning,0.025,0.297,complements
Airflow,Node.js,0.025,0.185,complements
Flask,Ruby,0.025,0.512,complements
Data Pipeline,Jupyter,0.025,0.193,complements
DevOps,Prototyping,0.025,0.237,complements
Jupyter,dbt,0.025,0.273,complements
Penetration Testing,Unix,0.025,0.272,complements
Cassandra,Looker,0.025,0.223,complements
GitHub,OWASP,0.025,0.118,complements
Jira,Vue,0.025,0.145,complements
HTML,Spark,0.025,0.113,complements
Data Pipeline,Jira,0.025,0.21,complements
Machine Learning,Rust,0.025,0.084,complements
MATLAB,PyTorch,0.025,0.177,complements
ServiceNow,jQuery,0.025,0.098,complements
Data Visualization,System Design,0.025,0.203,complements
Azure,SAP,0.025,0.258,complements
Cybersecurity,Stakeholder Mgmt,0.025,0.121,complements
.NET,MuleSoft,0.025,0.35,complements
Flink,Tableau,0.025,0.212,complements
Splunk,Swift,0.025,0.244,complements
Flink,GitHub,0.025,0.139,complements
CSS,Swift,0.025,0.35,complements
Snowflake,TensorFlow,0.025,0.061,complements
CI/CD,Prototyping,0.025,0.421,complements
Linux,OWASP,0.025,0.275,complements
CI/CD,FastAPI,0.025,0.165,complements
Jenkins,Vue,0.025,0.231,complements
Grafana,Unix,0.025,0.218,complements
Confluence,Looker,0.025,0.369,complements
Ansible,Risk Management,0.025,0.156,complements
Helm,PHP,0.025,0.245,complements
Fine-tuning,R,0.025,0.065,complements
MATLAB,Risk Management,0.025,0.023,complements
Big Data,Risk Management,0.025,0.064,complements
Docker,Pulumi,0.025,0.324,complements
HTML,SSIS,0.025,0.127,complements
Data Pipeline,Grafana,0.025,0.306,complements
Data Modeling,Spring,0.025,0.172,complements
GCP,System Design,0.025,0.251,complements
.NET,Terraform,0.025,0.372,complements
SAP,Windows,0.025,0.262,complements
CI/CD,MLflow,0.025,0.365,complements
A/B Testing,GraphQL,0.025,0.188,complements
DynamoDB,Hadoop,0.025,0.364,complements
FastAPI,Microservices,0.025,0.355,complements
Bash,CSS,0.025,0.286,complements
Big Data,System Design,0.025,0.474,complements
Microsoft Fabric,Python,0.025,0.464,complements
C++,Django,0.025,0.322,complements
Agile / Scrum,Workday,0.025,0.108,complements
BigQuery,Jupyter,0.025,0.241,complements
Big Data,Kotlin,0.025,0.134,complements
FastAPI,SQL,0.025,0.231,complements
SAS,Unix,0.025,0.18,complements
Django,Kafka,0.025,0.273,complements
Big Data,Grafana,0.025,0.247,complements
ETL,JavaScript,0.025,0.289,complements
BigQuery,Cassandra,0.025,0.393,complements
LLMs / GenAI,TypeScript,0.025,0.271,complements
ETL,Linux,0.025,0.361,complements
Machine Learning,Superset,0.025,0.257,complements
REST API,Rust,0.025,0.212,complements
Elasticsearch,Tableau,0.025,0.361,complements
Scala,Splunk,0.025,0.439,complements
Helm,Redis,0.025,0.268,complements
Bash,Unit Testing,0.025,0.394,complements
Node.js,Prototyping,0.025,0.107,complements
Dagster,NoSQL,0.025,0.229,complements
CISSP,Data Analysis,0.025,0.14,complements
React,User Research,0.025,0.335,complements
Data Warehousing,PyTorch,0.025,0.067,complements
Data Visualization,Fivetran,0.025,0.294,complements
Redis,XML,0.025,0.377,complements
AWS Security,Unix,0.025,0.072,complements
AWS,SOC 2,0.025,0.318,complements
A/B Testing,Salesforce,0.025,0.105,complements
